,code,class,name,market_cap,reg_day,per
695,A091180,kospi,KODEX 자동차,4694,-,-
696,A169950,kospi,KODEX 중국본토 A50,346,-,-
697,A138540,kospi,TIGER 현대차그룹+펀더멘털,1350,-,-
698,A530033,kospi,삼성 Alerian 에너지인프라 MLP ETN,212,-,-
699,A091220,kospi,TIGER 은행,125,-,-
700,A261250,kospi,KODEX 미국달러선물레버리지,320,-,-
701,A280930,kospi,KODEX 미국러셀2000(H),528,-,-
702,A364980,kospi,TIGER KRX2차전지K-뉴딜,8037,-,-
703,A500013,kospi,신한 옥수수 선물 ETN(H),166,-,-
704,A530056,kospi,삼성 인버스 2X 금 선물 ETN(H),105,-,-
705,A204480,kospi,TIGER 차이나CSI300레버리지(합성),1307,-,-
706,A280940,kospi,KODEX 골드선물인버스(H),38,-,-
707,A244580,kospi,KODEX 바이오,236,-,-
708,A500007,kospi,신한 인버스 은 선물 ETN(H),94,-,-
709,A191600,,티케이씨,200,20160805,-
710,A202960,,판도라티비,167,20140811,-
711,A158300,,에스에이티이엔지,298,20130701,-
712,A195920,kospi,TIGER 일본TOPIX(합성 H),113,-,-
713,A520005,kospi,미래에셋 인버스 전기전자 Core5 ETN,41,-,-
714,A381560,kospi,HANARO Fn전기&수소차,82,-,-
715,A286000,,씨엔티드림,398,20201211,-
716,A500004,kospi,신한 브렌트원유 선물 ETN(H),297,-,-
717,A265690,kospi,KINDEX 러시아MSCI(합성),92,-,-
718,A225800,kospi,KOSEF 미국달러선물레버리지,200,-,-
719,A261110,kospi,TIGER 미국달러선물레버리지,73,-,-
720,A500015,kospi,신한 WTI원유 선물 ETN(H),2102,-,-
721,A530032,kospi,삼성 Cushing 에너지인프라 MLP ETN,234,-,-
722,A520006,kospi,미래에셋 에너지화학 Core5 ETN,328,-,-
723,A241180,kospi,TIGER 일본니케이225,143,-,-
724,A570023,kospi,TRUE 인버스 2X S&P500 선물 ETN(H),123,-,-
725,A130680,kospi,TIGER 원유선물Enhanced(H),956,-,-
726,A243890,kospi,TIGER 200에너지화학레버리지,217,-,-
727,A261220,kospi,KODEX WTI원유선물(H),3269,-,-
728,A269530,kospi,ARIRANG S&P글로벌인프라,38,-,-
729,A099140,kospi,KODEX China H,336,-,-
730,A530023,kospi,삼성 레버리지 China A50 선물 ETN(H),619,-,-
731,A260870,,시그넷이브이,1903,20170830,-
732,A216280,,원텍,510,20150429,-
733,A216400,,바이오코아,1026,20150629,-
